time-stamp,acode,bcode,ccode,type,ret_code
1/3/18 8:32 AM,23130,55015,55015,GET,200
1/3/18 8:32 AM,26532,58005,58005,GET,200
1/3/18 8:32 AM,58818,58005,58005,POST,200
1/3/18 8:32 AM,40488,55078,55078,POST,401
1/3/18 8:32 AM,30042,58005,58005,POST,200
1/3/18 8:32 AM,58618,58005,58005,GET,200
1/3/18 8:32 AM,26532,58005,58005,GET,200
1/3/18 8:32 AM,54758,58005,58005,GET,200
1/3/18 8:32 AM,30042,58005,58005,GET,200
1/3/18 8:32 AM,58818,58005,58005,POST,200
1/3/18 8:32 AM,30042,58005,58005,GET,200
1/3/18 8:32 AM,19682,58005,58005,GET,200
1/3/18 8:32 AM,36306,58007,58007,POST,200
1/3/18 8:32 AM,30042,58005,58005,GET,200
1/3/18 8:32 AM,59154,58007,58007,POST,200
1/3/18 8:32 AM,60996,58007,58007,POST,200
1/3/18 8:32 AM,54994,58005,58005,GET,200
1/3/18 8:32 AM,55228,58017,58017,POST,200
1/3/18 8:32 AM,59154,58007,58007,POST,200
1/3/18 8:32 AM,40136,55078,55078,POST,401
1/3/18 8:32 AM,36306,58007,58007,POST,200
1/3/18 8:32 AM,60996,58007,58007,POST,200
1/3/18 8:32 AM,57178,58007,58007,POST,200
1/3/18 8:32 AM,42280,443,55005,GET,200
1/3/18 8:32 AM,41502,55015,55015,GET,200
1/3/18 8:32 AM,26532,58005,58005,POST,200
1/3/18 8:32 AM,46814,55015,55015,GET,200
1/3/18 8:32 AM,22672,443,55005,GET,200
1/3/18 8:32 AM,14824,443,55005,GET,200
1/3/18 8:32 AM,2552,443,55005,GET,200
1/3/18 8:32 AM,28430,58005,58005,GET,200
1/3/18 8:32 AM,35044,58007,58007,POST,200
1/3/18 8:32 AM,40136,55078,55078,POST,401
1/3/18 8:32 AM,58618,58005,58005,GET,200
1/3/18 8:32 AM,25872,443,55005,GET,200
1/3/18 8:32 AM,35602,58021,58021,POST,200
1/3/18 8:32 AM,38458,58017,58017,POST,200
1/3/18 8:32 AM,26532,58005,58005,POST,200
1/3/18 8:32 AM,40136,55078,55078,POST,401
1/3/18 8:32 AM,20040,58005,58005,POST,200
1/3/18 8:32 AM,58818,58005,58005,POST,200
1/3/18 8:32 AM,26532,58005,58005,GET,200
1/3/18 8:32 AM,64014,58007,58007,POST,200
1/3/18 8:32 AM,28430,58005,58005,POST,200
1/3/18 8:32 AM,35816,58007,58007,POST,200
1/3/18 8:32 AM,18006,58005,58005,GET,200
1/3/18 8:32 AM,57178,58007,58007,POST,200
1/3/18 8:32 AM,29780,55015,55015,GET,200
1/3/18 8:32 AM,59154,58007,58007,POST,200
1/3/18 8:32 AM,54674,58007,58007,POST,200
1/3/18 8:32 AM,35818,58007,58007,POST,200
1/3/18 8:32 AM,23322,58007,58007,POST,200
1/3/18 8:32 AM,26532,58005,58005,GET,200
1/3/18 8:32 AM,26532,58005,58005,POST,200
1/3/18 8:32 AM,8080,443,55005,GET,200
1/3/18 8:32 AM,62112,58007,58007,POST,200
1/3/18 8:32 AM,58618,58005,58005,GET,200
1/3/18 8:32 AM,40488,55078,55078,POST,401
1/3/18 8:32 AM,18006,58005,58005,GET,200
1/3/18 8:32 AM,26532,58005,58005,GET,200
1/3/18 8:32 AM,62682,58005,58005,GET,200
1/3/18 8:32 AM,35044,58007,58007,POST,200
1/3/18 8:32 AM,57178,58007,58007,POST,200
1/3/18 8:32 AM,36306,58007,58007,POST,200
1/3/18 8:32 AM,30042,58005,58005,GET,200
1/3/18 8:32 AM,2056,443,55005,GET,200
1/3/18 8:32 AM,17996,58005,58005,GET,200
1/3/18 8:32 AM,4824,443,55005,GET,200
1/3/18 8:32 AM,35816,58007,58007,POST,200
1/3/18 8:32 AM,23808,55025,55025,POST,200
1/3/18 8:32 AM,25848,443,55005,GET,200
1/3/18 8:32 AM,26532,58005,58005,GET,200
1/3/18 8:32 AM,62112,58007,58007,POST,200
1/3/18 8:32 AM,54674,58007,58007,POST,200
1/3/18 8:32 AM,36306,58007,58007,POST,200
1/3/18 8:32 AM,28430,58005,58005,POST,200
1/3/18 8:32 AM,54758,58005,58005,POST,200
1/3/18 8:32 AM,62682,58005,58005,POST,200
1/3/18 8:32 AM,60996,58007,58007,POST,200
1/3/18 8:32 AM,26532,58005,58005,POST,200
1/3/18 8:32 AM,40488,55078,55078,POST,401
1/3/18 8:32 AM,36550,58007,58007,POST,200
1/3/18 8:32 AM,23720,58007,58007,POST,200
1/3/18 8:32 AM,57178,58007,58007,POST,200
1/3/18 8:32 AM,36550,58007,58007,POST,200
1/3/18 8:32 AM,62112,58007,58007,POST,200
1/3/18 8:32 AM,16412,55025,55025,POST,401
1/3/18 8:32 AM,62112,58007,58007,POST,200
1/3/18 8:32 AM,26532,58005,58005,POST,200
1/3/18 8:32 AM,18006,58005,58005,GET,200
1/3/18 8:32 AM,23322,58007,58007,POST,200
1/3/18 8:32 AM,33176,443,55005,GET,200
1/3/18 8:32 AM,28430,58005,58005,GET,200
1/3/18 8:32 AM,58818,58005,58005,GET,200
1/3/18 8:32 AM,58618,58005,58005,POST,200
1/3/18 8:32 AM,23700,58005,58005,GET,200
1/3/18 8:32 AM,30042,58005,58005,GET,200
1/3/18 8:32 AM,23700,58005,58005,POST,200
1/3/18 8:32 AM,18006,58005,58005,POST,200
1/3/18 8:32 AM,34704,443,55005,GET,200
1/3/18 8:31 AM,19682,58005,58005,GET,200
1/3/18 8:31 AM,23322,58007,58007,POST,200
1/3/18 8:31 AM,36306,58007,58007,POST,200
1/3/18 8:31 AM,36306,58007,58007,POST,200
1/3/18 8:31 AM,57178,58007,58007,PUT,204
1/3/18 8:31 AM,55638,58005,58005,GET,200
1/3/18 8:31 AM,30042,58005,58005,POST,200
1/3/18 8:31 AM,40488,55078,55078,POST,401
1/3/18 8:31 AM,61730,58022,58022,POST,201
1/3/18 8:31 AM,54758,58005,58005,GET,200
1/3/18 8:31 AM,1520,443,55005,GET,200
1/3/18 8:31 AM,36550,58007,58007,POST,200
1/3/18 8:31 AM,17392,58022,58022,GET,200
1/3/18 8:31 AM,36550,58007,58007,POST,200
1/3/18 8:31 AM,54758,58005,58005,POST,200
1/3/18 8:31 AM,36306,58007,58007,POST,200
1/3/18 8:31 AM,26532,58005,58005,GET,200
1/3/18 8:31 AM,62112,58007,58007,POST,200
1/3/18 8:31 AM,35818,58007,58007,POST,200
1/3/18 8:31 AM,30042,58005,58005,POST,200
1/3/18 8:31 AM,64408,58007,58007,POST,200
1/3/18 8:31 AM,23700,58005,58005,GET,200
1/3/18 8:31 AM,57178,58007,58007,POST,200
1/3/18 8:31 AM,36306,58007,58007,POST,200
1/3/18 8:31 AM,26532,58005,58005,POST,200
1/3/18 8:31 AM,58818,58005,58005,GET,200
1/3/18 8:31 AM,18006,58005,58005,GET,200
1/3/18 8:31 AM,54758,58005,58005,GET,200
1/3/18 8:31 AM,61814,58014,58014,GET,200
1/3/18 8:31 AM,58618,58005,58005,POST,200
1/3/18 8:31 AM,43856,58014,58014,GET,200
1/3/18 8:31 AM,36306,58007,58007,POST,200
1/3/18 8:31 AM,42280,443,55005,GET,200
1/3/18 8:31 AM,36306,58007,58007,POST,200
1/3/18 8:31 AM,33148,58014,58014,GET,200
1/3/18 8:31 AM,22672,443,55005,GET,200
1/3/18 8:31 AM,43856,58014,58014,GET,200
1/3/18 8:31 AM,14825,443,55005,GET,200
1/3/18 8:31 AM,26532,58005,58005,GET,200
1/3/18 8:31 AM,36306,58007,58007,POST,200
1/3/18 8:31 AM,58818,58005,58005,GET,200
1/3/18 8:31 AM,2552,443,55005,GET,200
1/3/18 8:31 AM,55638,58005,58005,GET,200
1/3/18 8:31 AM,23322,58007,58007,POST,200
1/3/18 8:31 AM,26532,58005,58005,POST,200
1/3/18 8:31 AM,59154,58007,58007,POST,200
1/3/18 8:31 AM,40488,55078,55078,POST,401
1/3/18 8:31 AM,25920,443,55005,GET,200
1/3/18 8:31 AM,65080,58010,58010,POST,200
1/3/18 8:31 AM,26532,58005,58005,GET,200
1/3/18 8:31 AM,64408,58007,58007,POST,200
1/3/18 8:31 AM,28430,58005,58005,GET,200
1/3/18 8:31 AM,36550,58007,58007,POST,200
1/3/18 8:31 AM,57530,58005,58005,POST,200
1/3/18 8:31 AM,60996,58007,58007,POST,200
1/3/18 8:31 AM,36306,58007,58007,POST,200
1/3/18 8:31 AM,26532,58005,58005,GET,200
1/3/18 8:31 AM,36306,58007,58007,POST,200
1/3/18 8:31 AM,59154,58007,58007,POST,200
1/3/18 8:31 AM,20040,58005,58005,POST,200
1/3/18 8:31 AM,18006,58005,58005,POST,200
1/3/18 8:31 AM,40136,55078,55078,POST,401
1/3/18 8:31 AM,26532,58005,58005,POST,200
1/3/18 8:31 AM,32684,58010,58010,POST,200
1/3/18 8:31 AM,28430,58005,58005,POST,200
1/3/18 8:31 AM,19682,58005,58005,GET,200
1/3/18 8:31 AM,36306,58007,58007,POST,200
1/3/18 8:31 AM,60996,58007,58007,POST,200
1/3/18 8:31 AM,8104,443,55005,GET,200
1/3/18 8:31 AM,58618,58005,58005,POST,200
1/3/18 8:31 AM,57178,58007,58007,POST,200
1/3/18 8:31 AM,23720,58007,58007,POST,200
1/3/18 8:31 AM,58818,58005,58005,POST,200
1/3/18 8:31 AM,36550,58007,58007,POST,200
1/3/18 8:31 AM,36306,58007,58007,POST,200
1/3/18 8:31 AM,23322,58007,58007,POST,200
1/3/18 8:31 AM,59154,58007,58007,POST,200
1/3/18 8:31 AM,64014,58007,58007,POST,200
1/3/18 8:31 AM,58618,58005,58005,GET,200
1/3/18 8:31 AM,35044,58007,58007,POST,200
1/3/18 8:31 AM,17996,58005,58005,GET,200
1/3/18 8:31 AM,30042,58005,58005,GET,200
1/3/18 8:31 AM,60996,58007,58007,POST,200
1/3/18 8:31 AM,23720,58007,58007,POST,200
1/3/18 8:31 AM,59154,58007,58007,POST,200
1/3/18 8:31 AM,2056,443,55005,GET,200
1/3/18 8:31 AM,36306,58007,58007,POST,200
1/3/18 8:31 AM,4824,443,55005,GET,200
1/3/18 8:31 AM,57178,58007,58007,POST,200
1/3/18 8:31 AM,23680,58004,58004,DELETE,403
1/3/18 8:31 AM,60996,58007,58007,POST,200
1/3/18 8:31 AM,25888,443,55005,GET,200
1/3/18 8:31 AM,53420,58008,58008,POST,200
1/3/18 8:31 AM,36306,58007,58007,POST,200
1/3/18 8:31 AM,35816,58007,58007,POST,200
1/3/18 8:31 AM,55638,58005,58005,POST,200
1/3/18 8:31 AM,53420,58008,58008,POST,200
1/3/18 8:31 AM,55394,58008,58008,POST,200
1/3/18 8:31 AM,26532,58005,58005,GET,200
1/3/18 8:31 AM,62336,58019,58019,GET,200
1/3/18 8:31 AM,23700,58005,58005,GET,200
1/3/18 8:31 AM,36306,58007,58007,POST,200
1/3/18 8:31 AM,36984,58019,58019,GET,200
1/3/18 8:31 AM,16046,58008,58008,GET,200
1/3/18 8:31 AM,26532,58005,58005,POST,200
1/3/18 8:31 AM,36306,58007,58007,POST,200
1/3/18 8:31 AM,36550,58007,58007,POST,200
1/3/18 8:31 AM,23322,58007,58007,POST,200
1/3/18 8:31 AM,57178,58007,58007,POST,200
1/3/18 8:31 AM,64408,58007,58007,POST,200
1/3/18 8:31 AM,36306,58007,58007,POST,200
1/3/18 8:31 AM,55638,58005,58005,POST,200
1/3/18 8:31 AM,36550,58007,58007,POST,200
1/3/18 8:31 AM,26488,58005,58005,GET,200
1/3/18 8:31 AM,23322,58007,58007,POST,200
1/3/18 8:31 AM,59154,58007,58007,POST,200
1/3/18 8:31 AM,36306,58007,58007,POST,200
1/3/18 8:31 AM,33200,443,55005,GET,200
1/3/18 8:31 AM,20040,58005,58005,POST,200
1/3/18 8:31 AM,64408,58007,58007,POST,200
1/3/18 8:31 AM,40488,55078,55078,POST,401
1/3/18 8:31 AM,34624,443,55005,GET,200
